timestamp,from_currency,to_currency,amount_usd
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LINK,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,ETH,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,DOT,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,LINK,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,ETH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,LTC,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,DOT,100.00
2025-04-29 00:20:25.142304,LINK,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,ETH,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LTC,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,DOT,100.00
2025-04-29 00:20:25.142304,ETH,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,ETH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,ETH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LINK,100.00
2025-04-29 00:20:25.142304,ETH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LTC,100.00
2025-04-29 00:20:25.142304,ETH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,DOT,100.00
2025-04-29 00:20:25.142304,LTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,LTC,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,LTC,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LINK,100.00
2025-04-29 00:20:25.142304,LTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,ETH,100.00
2025-04-29 00:20:25.142304,LTC,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,DOT,100.00
2025-04-29 00:20:25.142304,DOT,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,DOT,LINK,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,DOT,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LINK,100.00
2025-04-29 00:20:25.142304,DOT,BCH,100.00
2025-04-29 00:20:25.142304,BCH,BTC,100.00
2025-04-29 00:20:25.142304,BTC,ETH,100.00
2025-04-29 00:20:25.142304,DOT,LINK,100.00
2025-04-29 00:20:25.142304,LINK,BTC,100.00
2025-04-29 00:20:25.142304,BTC,BCH,100.00
2025-04-29 00:20:25.142304,BCH,LTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LINK,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,ETH,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,DOT,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,LINK,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,ETH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,LTC,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,DOT,100.00
2025-04-29 00:21:01.924015,LINK,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,ETH,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LTC,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,DOT,100.00
2025-04-29 00:21:01.924015,ETH,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,ETH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,ETH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LINK,100.00
2025-04-29 00:21:01.924015,ETH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LTC,100.00
2025-04-29 00:21:01.924015,ETH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,DOT,100.00
2025-04-29 00:21:01.924015,LTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,LTC,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,LTC,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LINK,100.00
2025-04-29 00:21:01.924015,LTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,ETH,100.00
2025-04-29 00:21:01.924015,LTC,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,DOT,100.00
2025-04-29 00:21:01.924015,DOT,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,DOT,LINK,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,DOT,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LINK,100.00
2025-04-29 00:21:01.924015,DOT,BCH,100.00
2025-04-29 00:21:01.924015,BCH,BTC,100.00
2025-04-29 00:21:01.924015,BTC,ETH,100.00
2025-04-29 00:21:01.924015,DOT,LINK,100.00
2025-04-29 00:21:01.924015,LINK,BTC,100.00
2025-04-29 00:21:01.924015,BTC,BCH,100.00
2025-04-29 00:21:01.924015,BCH,LTC,100.00
